Transaction_ID,Product_ID,Customer_ID,Purchase_Date,Quantity,Total_Price
62.0,1642.0,136.0,2023-04-09,5.0,362.81
63.0,,835.0,,1.0,74.63
64.0,1261.0,466.0,2023-12-01,5.0,57.8
65.0,1232.0,432.0,2024-04-25,1.0,194.44
66.0,1037.0,2201.0,2023-09-03,5.0,
67.0,1638.0,2171.0,2023-03-18,1.0,480.48
68.0,1017.0,1787.0,2025-02-07,4.0,232.2
69.0,1162.0,771.0,2023-07-14,1.0,293.79
70.0,1293.0,,2023-03-23,,304.63
71.0,1091.0,2344.0,2024-05-29,2.0,363.5
72.0,1988.0,2967.0,2024-08-06,5.0,442.82
73.0,1444.0,1838.0,2023-03-26,1.0,140.16
74.0,1965.0,661.0,2023-05-28,3.0,176.77
75.0,,602.0,2023-04-17,,386.71
76.0,1618.0,,2024-01-06,5.0,436.55
77.0,1730.0,2810.0,2025-01-24,2.0,490.69
78.0,1854.0,1338.0,2023-02-25,5.0,284.42
79.0,1526.0,769.0,2024-08-31,1.0,
80.0,1543.0,1103.0,2024-04-02,4.0,
,1261.0,2307.0,,2.0,358.67
,1470.0,2692.0,2023-04-24,2.0,370.48
83.0,,1599.0,2023-07-29,3.0,478.3
84.0,1154.0,2841.0,2023-12-21,1.0,491.09
85.0,1896.0,1432.0,2023-11-11,2.0,380.91
86.0,1757.0,2354.0,2023-04-28,3.0,
87.0,1124.0,1771.0,2023-09-27,5.0,186.8
,1943.0,2088.0,2024-04-07,3.0,446.8
89.0,1646.0,1919.0,2025-01-16,5.0,358.89
90.0,1931.0,2245.0,2024-12-05,3.0,51.49
91.0,1147.0,425.0,2023-08-21,3.0,424.46
92.0,1601.0,2717.0,2024-07-29,1.0,64.2
93.0,1792.0,215.0,2023-03-29,2.0,59.22
94.0,1863.0,2226.0,2023-05-15,1.0,252.69
95.0,1230.0,635.0,2024-01-23,1.0,
96.0,1843.0,1565.0,2024-06-23,1.0,496.15
97.0,1565.0,,2024-02-24,5.0,82.17
98.0,1499.0,2091.0,2024-12-07,5.0,17.51
,1982.0,1856.0,2024-09-19,4.0,199.87
100.0,1314.0,601.0,2024-10-29,5.0,67.76
101.0,1042.0,2519.0,2024-06-26,3.0,478.61
102.0,1849.0,1015.0,2024-03-16,1.0,374.46
103.0,1073.0,57.0,2023-04-19,2.0,187.97
104.0,1172.0,1772.0,2025-01-26,3.0,17.07
105.0,1780.0,122.0,2023-05-12,5.0,442.34
106.0,1976.0,1234.0,2023-12-09,5.0,37.18
107.0,1433.0,1329.0,2025-02-11,4.0,418.4
108.0,1483.0,555.0,2024-09-11,2.0,438.98
109.0,1747.0,120.0,2024-05-21,4.0,169.86
110.0,,,2023-08-29,2.0,120.41
111.0,1224.0,1393.0,2025-02-19,2.0,46.79
112.0,1295.0,1607.0,2023-09-22,5.0,401.4
113.0,1796.0,315.0,2023-03-09,1.0,
114.0,1052.0,812.0,2024-04-02,4.0,456.7
115.0,1209.0,1462.0,2024-11-17,3.0,
116.0,1873.0,1460.0,2024-07-16,2.0,203.96
,1611.0,2061.0,2024-04-01,2.0,433.17
118.0,1953.0,1072.0,2024-12-08,5.0,374.58
119.0,1303.0,2016.0,2023-08-17,2.0,44.13
120.0,1517.0,2456.0,2024-10-26,5.0,170.88
121.0,1250.0,1721.0,2023-10-05,5.0,352.12
122.0,1024.0,2131.0,2024-02-21,5.0,48.02
123.0,1511.0,430.0,2023-09-24,1.0,274.64
124.0,1224.0,1895.0,2024-12-03,2.0,230.82
125.0,1118.0,244.0,2024-05-21,5.0,256.47
126.0,1127.0,2794.0,2023-05-24,3.0,265.66
127.0,1353.0,810.0,2024-06-27,4.0,29.05
128.0,1976.0,,2023-03-28,,375.04
129.0,1938.0,2770.0,2024-07-25,2.0,280.18
130.0,1072.0,2160.0,2024-01-24,3.0,458.88
131.0,1735.0,2576.0,2023-05-05,4.0,322.98
132.0,1209.0,30.0,2024-06-05,5.0,293.7
133.0,1857.0,1692.0,2023-10-28,,422.15
134.0,1022.0,566.0,2024-04-01,,226.2
135.0,1808.0,,2024-04-13,5.0,33.89
136.0,1115.0,2536.0,2024-02-04,,464.89
137.0,1527.0,735.0,2025-02-17,3.0,372.0
138.0,1914.0,352.0,2024-03-31,5.0,444.12
139.0,1859.0,309.0,2024-03-11,5.0,498.36
140.0,,1321.0,2024-08-23,1.0,261.5
141.0,1371.0,2500.0,2023-12-01,4.0,420.87
142.0,1759.0,146.0,2025-02-10,1.0,198.49
143.0,1327.0,1858.0,2024-01-11,5.0,285.99
144.0,1876.0,1892.0,2024-05-15,2.0,481.26
145.0,1198.0,1353.0,2024-10-03,4.0,111.49
146.0,1722.0,772.0,2023-07-19,2.0,68.48
,,,2024-11-10,4.0,27.08
148.0,1463.0,649.0,2023-12-15,1.0,101.84
149.0,1957.0,741.0,2024-05-16,5.0,77.47
150.0,1468.0,1398.0,2023-10-01,5.0,276.98
151.0,1667.0,635.0,2024-12-22,2.0,124.71
152.0,1611.0,296.0,2023-10-02,5.0,426.19
153.0,1263.0,2757.0,2024-09-12,3.0,158.26
154.0,1635.0,1816.0,2024-01-09,3.0,52.98
155.0,1813.0,2788.0,2023-07-26,2.0,493.75
156.0,1616.0,1524.0,2023-08-18,4.0,337.19
157.0,,2775.0,2024-02-29,1.0,337.41
158.0,1417.0,2120.0,2024-12-06,3.0,489.17
159.0,1396.0,442.0,2025-01-01,4.0,134.09
160.0,1523.0,955.0,,4.0,104.06
161.0,1934.0,1024.0,2023-08-03,2.0,379.0
162.0,1075.0,2581.0,2023-11-21,3.0,96.31
163.0,1805.0,2756.0,2025-01-25,2.0,255.71
164.0,1212.0,1244.0,2023-09-16,4.0,185.62
165.0,1391.0,728.0,2024-08-16,4.0,87.5
166.0,1454.0,1406.0,2023-08-11,5.0,154.17
167.0,1303.0,,2023-05-02,2.0,183.76
168.0,1606.0,1753.0,2023-08-23,1.0,154.65
169.0,1230.0,834.0,2023-04-11,5.0,69.46
170.0,1269.0,153.0,2023-10-19,3.0,50.26
171.0,1423.0,491.0,2024-12-27,5.0,449.01
172.0,1243.0,2979.0,2024-11-27,1.0,39.85
173.0,1951.0,1573.0,2023-12-14,,25.91
174.0,1717.0,2409.0,2024-12-21,2.0,185.82
175.0,1149.0,2088.0,2024-07-10,2.0,415.29
176.0,1387.0,367.0,2024-05-14,3.0,30.14
177.0,1001.0,122.0,2024-05-22,5.0,21.36
178.0,1200.0,1418.0,2024-01-14,4.0,280.46
179.0,1262.0,1041.0,2023-11-22,4.0,220.93
180.0,1483.0,978.0,2025-02-10,4.0,158.1
181.0,1379.0,923.0,2024-10-20,2.0,201.73
182.0,1711.0,952.0,2023-10-07,,332.3
,1224.0,,2024-08-21,4.0,130.98
184.0,1567.0,1508.0,2023-05-12,4.0,445.41
185.0,1056.0,3000.0,2023-07-14,1.0,21.84
186.0,1298.0,1060.0,2023-06-28,1.0,375.1
187.0,1755.0,460.0,2024-07-04,1.0,295.48
188.0,1180.0,744.0,2025-02-03,3.0,189.47
189.0,1748.0,2716.0,2025-01-19,2.0,402.8
190.0,1699.0,2189.0,2024-09-19,2.0,233.86
,1808.0,935.0,2023-06-27,3.0,344.93
192.0,1528.0,1051.0,2023-12-13,1.0,126.16
193.0,1164.0,1842.0,2024-09-15,5.0,266.37
194.0,1512.0,2636.0,2024-12-04,5.0,493.21
195.0,1597.0,955.0,2024-07-26,2.0,119.59
196.0,1708.0,182.0,2024-06-14,3.0,123.35
197.0,1602.0,2435.0,2023-09-09,1.0,483.89
198.0,1078.0,1669.0,2024-10-29,,
199.0,1756.0,61.0,2023-04-29,,46.06
200.0,1474.0,272.0,2025-01-16,5.0,8.87
201.0,1426.0,2315.0,2023-11-25,5.0,377.97
202.0,1609.0,1040.0,2024-05-11,4.0,20.88
203.0,1437.0,1454.0,2024-10-18,1.0,218.73
204.0,1480.0,2794.0,2024-01-04,4.0,459.56
205.0,,1315.0,2023-12-06,2.0,243.23
206.0,1327.0,1522.0,2024-12-01,1.0,144.13
207.0,1510.0,,,5.0,36.71
208.0,1627.0,42.0,2024-06-06,1.0,475.3
209.0,1296.0,671.0,2023-09-27,4.0,476.44
210.0,1057.0,587.0,2024-10-12,3.0,323.24
211.0,1719.0,1262.0,2025-02-15,3.0,70.79
,1462.0,1767.0,2024-12-25,2.0,40.35
213.0,,2588.0,2023-08-24,5.0,294.87
214.0,1190.0,1001.0,2023-06-28,4.0,255.5
215.0,1758.0,2479.0,2025-01-21,1.0,278.84
216.0,1962.0,139.0,2023-03-18,5.0,240.69
217.0,1706.0,2337.0,2023-07-23,4.0,60.81
218.0,1063.0,168.0,2023-12-11,1.0,111.47
219.0,1968.0,2514.0,2024-03-13,5.0,362.31
220.0,1019.0,2605.0,2024-06-20,3.0,170.0
221.0,1275.0,2549.0,,3.0,132.34
222.0,1021.0,885.0,2023-07-25,4.0,469.94
,1999.0,780.0,2024-10-01,1.0,
224.0,1110.0,677.0,2023-09-04,4.0,269.84
225.0,1871.0,1243.0,2024-08-18,3.0,498.84
226.0,1608.0,98.0,2024-11-05,4.0,283.65
227.0,1998.0,195.0,2024-02-11,2.0,272.01
228.0,1221.0,35.0,2023-09-28,1.0,279.75
229.0,1009.0,2529.0,2024-09-29,4.0,238.05
230.0,1706.0,2255.0,2025-02-12,5.0,468.76
231.0,1291.0,,2023-03-31,,88.45
232.0,1441.0,2654.0,2023-08-20,4.0,154.43
233.0,1963.0,110.0,2023-05-12,3.0,287.75
234.0,1627.0,109.0,2024-04-01,2.0,245.89
235.0,1729.0,495.0,2023-08-18,4.0,290.81
236.0,1421.0,1036.0,2023-12-13,4.0,159.92
237.0,1257.0,509.0,2024-05-20,5.0,355.41
238.0,1656.0,1993.0,2024-10-27,1.0,196.6
239.0,1847.0,,2023-07-19,5.0,113.64
240.0,1120.0,528.0,2024-11-10,1.0,363.47
241.0,1371.0,500.0,2024-02-26,2.0,410.95
242.0,1810.0,1508.0,2023-05-18,3.0,46.1
243.0,1959.0,149.0,2024-02-24,3.0,258.09
244.0,1491.0,2855.0,2024-07-19,,407.07
245.0,1776.0,1337.0,2024-04-12,3.0,386.37
246.0,1384.0,747.0,2025-01-11,5.0,8.9
247.0,1405.0,2456.0,2024-06-12,3.0,395.62
248.0,1287.0,2131.0,2025-02-18,1.0,371.68
249.0,1210.0,,2023-03-02,5.0,167.26
250.0,1253.0,1270.0,2024-01-15,2.0,167.11
251.0,1962.0,2027.0,2025-01-02,,112.0
252.0,1655.0,624.0,2024-11-20,2.0,19.8
253.0,1779.0,514.0,2023-03-28,5.0,96.95
254.0,,635.0,2023-07-15,2.0,179.0
255.0,1001.0,2791.0,2023-07-11,,370.22
256.0,1418.0,2879.0,2024-09-28,3.0,89.45
257.0,1525.0,1307.0,2025-01-28,4.0,467.1
258.0,1712.0,1118.0,2024-12-09,4.0,322.98
259.0,1047.0,1683.0,2023-04-08,3.0,163.0
260.0,1103.0,1631.0,2023-05-10,2.0,232.16
261.0,,1251.0,2025-01-04,2.0,149.48
262.0,1558.0,2479.0,2023-03-20,4.0,255.21
263.0,,74.0,2023-04-20,1.0,79.37
264.0,1024.0,1320.0,2024-08-23,4.0,478.04
265.0,1261.0,1480.0,2024-05-25,3.0,91.43
266.0,1688.0,1884.0,2024-09-09,3.0,458.5
267.0,1921.0,2795.0,2023-02-26,2.0,
268.0,1208.0,505.0,2023-11-08,5.0,316.99
,1548.0,2165.0,2025-02-02,5.0,466.47
270.0,1325.0,1714.0,2023-10-25,3.0,419.2
,1117.0,1946.0,2023-04-16,2.0,160.51
272.0,1144.0,640.0,2025-01-12,4.0,397.57
273.0,1175.0,2604.0,2023-07-31,4.0,272.03
274.0,1347.0,2017.0,2024-06-04,4.0,10.66
275.0,1198.0,2450.0,2025-01-28,3.0,7.04
276.0,1988.0,1311.0,2024-06-07,2.0,471.87
,1233.0,1965.0,2024-08-15,3.0,287.65
278.0,1876.0,2667.0,2023-05-20,2.0,19.03
279.0,1800.0,1616.0,2023-06-25,1.0,428.15
280.0,1663.0,1866.0,2023-09-16,2.0,164.52
281.0,1366.0,603.0,2024-05-15,4.0,356.23
282.0,1947.0,1529.0,2024-01-10,4.0,107.65
283.0,1796.0,2846.0,2024-06-17,,
284.0,1235.0,1293.0,2024-04-23,3.0,178.08
285.0,,737.0,2024-06-08,3.0,403.32
286.0,1653.0,139.0,2023-03-18,1.0,420.86
287.0,1672.0,2536.0,2024-04-03,2.0,413.72
288.0,1324.0,1219.0,2025-01-31,5.0,408.02
289.0,1533.0,2912.0,2023-02-26,1.0,246.91
290.0,1877.0,455.0,2023-09-12,2.0,110.25
291.0,1544.0,635.0,2024-06-19,4.0,33.46
292.0,1819.0,392.0,2024-02-27,2.0,191.84
293.0,1741.0,1985.0,2024-09-18,1.0,337.72
294.0,1356.0,853.0,2024-04-20,4.0,211.05
295.0,1449.0,938.0,2024-10-25,3.0,355.93
296.0,1526.0,325.0,2024-06-23,1.0,401.54
297.0,1625.0,785.0,2024-08-11,2.0,471.76
298.0,1638.0,2505.0,2024-11-27,2.0,274.28
299.0,1991.0,606.0,2024-05-16,3.0,225.05
300.0,1621.0,1131.0,2024-02-05,5.0,490.63
301.0,1561.0,2101.0,2023-05-19,4.0,323.2
302.0,1138.0,2506.0,2025-01-16,3.0,205.6
303.0,1889.0,877.0,2024-04-20,3.0,95.83
,1774.0,1438.0,2024-11-29,5.0,54.45
305.0,1697.0,2384.0,2024-05-16,1.0,287.61
306.0,1159.0,400.0,,5.0,142.8
307.0,1540.0,1815.0,2024-08-25,5.0,457.22
308.0,1137.0,2183.0,2023-07-03,4.0,133.22
309.0,1407.0,1878.0,2024-07-17,3.0,95.94
310.0,1438.0,2555.0,2024-01-23,1.0,246.06
311.0,1621.0,1902.0,2023-06-08,2.0,347.93
312.0,1830.0,1108.0,2023-11-28,3.0,396.59
313.0,1304.0,2889.0,2023-12-10,1.0,
314.0,1435.0,,2025-01-24,1.0,191.94
315.0,1855.0,1313.0,2023-09-26,4.0,357.38
,1432.0,1338.0,2024-10-26,5.0,354.91
317.0,,888.0,2024-04-23,5.0,163.9
318.0,1433.0,6.0,2024-12-13,1.0,116.3
319.0,1674.0,793.0,2024-08-13,3.0,129.34
320.0,1972.0,2565.0,2024-08-05,5.0,401.14
321.0,1667.0,2142.0,2025-02-13,5.0,203.95
322.0,1079.0,1055.0,2024-04-05,2.0,327.07
323.0,1514.0,,2023-11-12,4.0,
324.0,1042.0,1403.0,2023-04-18,5.0,36.63
325.0,1758.0,2388.0,2023-10-22,4.0,54.2
326.0,1618.0,332.0,2024-01-06,5.0,397.99
327.0,1553.0,524.0,2023-06-11,1.0,396.3
328.0,1253.0,1995.0,2024-11-14,3.0,349.94
329.0,1189.0,1615.0,2024-12-13,5.0,264.29
330.0,1413.0,95.0,2023-12-20,5.0,99.3
331.0,1226.0,2104.0,2024-10-22,2.0,234.93
332.0,1322.0,,2023-07-10,1.0,359.51
333.0,1149.0,1401.0,2023-12-31,4.0,358.44
334.0,1816.0,593.0,2023-11-24,3.0,289.76
335.0,1409.0,2796.0,2023-06-14,4.0,107.38
336.0,1767.0,2383.0,2024-07-01,3.0,295.66
337.0,1866.0,202.0,2024-08-26,1.0,174.78
338.0,1408.0,1158.0,2024-12-12,3.0,315.26
339.0,1968.0,903.0,2024-02-02,2.0,496.03
340.0,1930.0,2999.0,2024-05-31,5.0,31.2
341.0,1984.0,804.0,,1.0,433.62
342.0,1516.0,2704.0,2024-04-28,3.0,17.53
343.0,1860.0,1150.0,2023-11-10,3.0,411.85
344.0,1637.0,2356.0,2024-12-15,3.0,427.62
345.0,1653.0,295.0,2024-03-27,2.0,274.4
346.0,1425.0,99.0,2023-05-30,2.0,143.78
347.0,1193.0,579.0,2023-05-27,4.0,376.0
348.0,1904.0,383.0,2023-06-18,1.0,156.51
349.0,1137.0,388.0,2024-12-10,1.0,470.26
350.0,1895.0,1121.0,2023-10-31,1.0,403.66
351.0,1676.0,2314.0,2024-10-19,1.0,16.61
352.0,1118.0,2802.0,2023-12-03,5.0,234.07
353.0,1355.0,,2024-12-26,5.0,
354.0,1531.0,883.0,2023-05-28,2.0,249.28
355.0,1190.0,858.0,2023-10-19,4.0,476.91
,1168.0,2217.0,,1.0,312.07
357.0,1035.0,574.0,2023-10-25,4.0,60.63
358.0,1185.0,1342.0,2024-08-18,1.0,109.81
359.0,1296.0,2417.0,2023-08-08,5.0,71.86
360.0,1119.0,1201.0,2024-08-14,5.0,18.51
361.0,1279.0,1674.0,2024-08-01,4.0,285.5
362.0,1177.0,2000.0,2023-10-21,1.0,93.13
363.0,1036.0,1205.0,2024-07-13,5.0,221.81
364.0,1104.0,127.0,2024-03-24,1.0,46.35
365.0,1941.0,2125.0,2024-12-18,1.0,108.54
366.0,1817.0,337.0,2023-09-21,5.0,379.64
367.0,1148.0,2866.0,2024-11-01,5.0,25.87
368.0,1857.0,1141.0,2023-12-20,2.0,408.45
369.0,1947.0,2318.0,2023-06-23,1.0,196.67
370.0,1253.0,,2024-03-25,4.0,114.16
371.0,1338.0,2140.0,2024-04-09,2.0,100.94
372.0,1703.0,2781.0,2023-05-02,4.0,128.29
373.0,1789.0,,2024-07-11,5.0,20.78
374.0,1462.0,2854.0,2024-08-11,5.0,139.17
375.0,1008.0,206.0,2024-11-20,1.0,247.8
376.0,,2756.0,2024-10-23,,307.7
377.0,1220.0,2684.0,2024-01-31,2.0,237.01
378.0,1190.0,1224.0,2023-04-12,3.0,238.77
379.0,1632.0,1855.0,2024-07-05,2.0,275.18
380.0,1365.0,2618.0,2023-09-27,5.0,
381.0,,2785.0,2024-06-09,3.0,242.92
382.0,1418.0,25.0,2023-05-26,1.0,323.48
383.0,1605.0,1442.0,2023-03-02,2.0,294.23
384.0,1662.0,390.0,2024-03-29,5.0,261.94
385.0,1789.0,119.0,2023-06-19,2.0,406.98
386.0,1598.0,1637.0,2023-07-04,3.0,141.08
387.0,1435.0,2189.0,2024-06-20,2.0,383.51
388.0,1322.0,2491.0,2023-09-05,1.0,154.69
389.0,1183.0,2230.0,2023-04-07,1.0,384.09
,,1752.0,2024-06-24,5.0,432.85
391.0,1123.0,1170.0,2025-02-10,2.0,410.6
392.0,1288.0,1337.0,2024-12-07,5.0,417.1
393.0,1344.0,2743.0,2024-02-05,2.0,215.32
394.0,1945.0,2894.0,2024-09-15,3.0,389.39
395.0,1399.0,1265.0,2024-05-04,3.0,311.83
396.0,,1814.0,2024-02-21,4.0,294.71
397.0,1672.0,2085.0,2024-02-28,3.0,199.2
398.0,1301.0,1543.0,2023-06-13,2.0,89.2
399.0,1455.0,963.0,2024-03-22,4.0,214.59
400.0,1253.0,2500.0,2023-07-13,1.0,89.2
401.0,1959.0,2059.0,2023-04-26,1.0,389.68
402.0,1272.0,1308.0,2023-08-19,3.0,438.89
403.0,1218.0,938.0,2024-12-23,1.0,75.4
404.0,1822.0,22.0,2025-02-05,1.0,390.05
405.0,1102.0,859.0,2024-08-20,5.0,364.11
406.0,1883.0,1238.0,2024-09-25,3.0,119.13
407.0,1077.0,1579.0,2023-07-12,1.0,494.22
408.0,1247.0,2373.0,2024-04-23,1.0,128.08
,1173.0,435.0,2023-10-22,2.0,474.36
410.0,1738.0,2255.0,2024-09-03,5.0,217.34
411.0,1545.0,924.0,2023-09-15,1.0,478.45
412.0,,2804.0,2023-05-20,5.0,387.47
413.0,1067.0,1347.0,2025-02-01,4.0,42.38
414.0,1742.0,1875.0,2023-10-20,2.0,350.52
415.0,1700.0,2688.0,2024-03-31,1.0,
,1075.0,731.0,2023-06-05,5.0,222.75
417.0,1171.0,241.0,2024-02-02,5.0,279.06
418.0,1552.0,676.0,2024-11-06,1.0,127.05
419.0,1224.0,196.0,,3.0,478.59
420.0,1177.0,640.0,2023-08-27,4.0,91.82
421.0,1099.0,2120.0,2025-02-03,5.0,73.62
422.0,1993.0,2321.0,2024-05-29,1.0,
423.0,1917.0,967.0,2024-07-13,1.0,270.82
424.0,1594.0,1879.0,2024-02-14,1.0,431.47
425.0,1340.0,2988.0,2024-04-11,1.0,443.25
426.0,,2301.0,2024-09-10,4.0,423.82
427.0,1772.0,390.0,2024-07-12,3.0,107.16
428.0,1630.0,666.0,2023-04-01,5.0,207.93
429.0,1709.0,2036.0,2023-07-31,3.0,441.55
430.0,1083.0,452.0,2023-02-25,1.0,483.06
431.0,1994.0,2102.0,2024-09-13,,56.7
432.0,1607.0,2902.0,2023-04-27,3.0,324.7
433.0,1104.0,1108.0,2024-12-12,2.0,108.89
434.0,1612.0,573.0,2024-03-04,5.0,298.11
435.0,1115.0,1917.0,2023-02-25,3.0,171.33
436.0,1863.0,249.0,2024-09-11,2.0,444.94
437.0,1906.0,1703.0,2024-05-21,1.0,229.71
438.0,1899.0,1873.0,2024-05-03,2.0,261.0
,1059.0,781.0,2024-01-18,2.0,
440.0,1634.0,543.0,2023-07-24,4.0,12.66
441.0,1633.0,2895.0,,5.0,68.27
442.0,1483.0,397.0,2024-09-13,1.0,322.54
443.0,1561.0,2627.0,,4.0,333.46
444.0,1735.0,2249.0,2024-10-16,3.0,132.38
445.0,1688.0,2747.0,2023-06-30,4.0,469.82
446.0,1890.0,521.0,2024-06-19,4.0,423.78
447.0,1928.0,,2024-09-03,5.0,38.77
448.0,1225.0,2728.0,2024-01-25,1.0,418.52
449.0,1275.0,2597.0,2023-09-06,4.0,14.32
450.0,,2985.0,2023-08-16,2.0,354.97
451.0,1934.0,1436.0,,5.0,309.79
452.0,1652.0,104.0,2024-04-05,,96.08
453.0,,1047.0,2023-12-11,3.0,202.43
454.0,1357.0,2431.0,2023-06-13,5.0,324.22
455.0,1755.0,217.0,2025-01-01,2.0,436.72
456.0,,1443.0,2023-04-30,5.0,199.66
457.0,1625.0,1522.0,2024-02-03,5.0,128.05
458.0,1101.0,290.0,2024-04-08,1.0,26.81
459.0,1243.0,,2023-08-06,2.0,395.19
460.0,1571.0,2900.0,2023-11-12,3.0,196.82
461.0,1511.0,67.0,2023-07-21,4.0,366.02
462.0,1705.0,1753.0,2023-07-28,,450.33
463.0,1435.0,2448.0,2024-12-28,5.0,285.4
464.0,1197.0,953.0,2023-08-23,2.0,166.08
465.0,1459.0,1094.0,2023-04-12,1.0,16.51
466.0,1487.0,672.0,2025-01-13,5.0,220.47
467.0,1136.0,1137.0,2024-11-29,3.0,215.21
468.0,1418.0,1452.0,2024-04-30,4.0,204.62
469.0,1854.0,108.0,2023-12-29,3.0,80.8
470.0,1139.0,2952.0,2023-11-30,,8.74
,,641.0,2023-08-17,4.0,437.84
472.0,1241.0,1901.0,2023-09-06,1.0,139.5
,,2312.0,2023-07-03,5.0,366.14
474.0,1992.0,2288.0,2023-09-16,5.0,469.11
475.0,1255.0,2248.0,2024-08-18,4.0,334.43
476.0,1650.0,89.0,2025-01-10,5.0,482.48
477.0,1919.0,2060.0,2024-07-04,2.0,
478.0,1809.0,2792.0,2023-03-03,4.0,134.06
479.0,1997.0,1672.0,2024-01-28,3.0,157.24
480.0,1649.0,1618.0,2024-12-29,4.0,272.12
481.0,1971.0,425.0,2023-07-24,4.0,169.83
482.0,1251.0,2108.0,2024-10-02,3.0,394.42
483.0,1019.0,,2023-06-20,5.0,340.44
484.0,1230.0,2210.0,2023-08-29,3.0,215.19
485.0,1580.0,1392.0,2023-09-13,1.0,284.72
486.0,1384.0,1998.0,2024-05-14,2.0,366.6
487.0,1101.0,89.0,,1.0,454.26
488.0,1576.0,52.0,2023-05-18,4.0,398.04
489.0,1652.0,2802.0,2024-09-25,5.0,441.18
490.0,1439.0,2262.0,2023-08-23,5.0,163.75
491.0,1216.0,1217.0,2025-01-16,2.0,375.92
492.0,1628.0,739.0,2024-03-05,3.0,
493.0,1924.0,1732.0,,5.0,33.64
494.0,1785.0,455.0,2024-10-12,4.0,411.71
495.0,1557.0,30.0,2024-05-17,3.0,209.06
496.0,1184.0,2270.0,2023-09-10,2.0,418.25
497.0,1838.0,2966.0,2024-10-16,2.0,354.44
498.0,1284.0,2590.0,2024-09-23,1.0,425.48
499.0,1610.0,141.0,2024-05-15,5.0,69.28
500.0,1937.0,426.0,2024-12-29,5.0,69.3
501.0,1449.0,1223.0,2025-01-25,1.0,212.62
502.0,1620.0,2269.0,2023-04-15,3.0,347.57
503.0,1003.0,1309.0,2023-09-01,5.0,230.48
504.0,1682.0,1628.0,2023-03-28,1.0,
